Unique ID,Title,Category,Source,Owner,Status
1,Black Bear,North America,http://en.wikipedia.org/wiki/American_black_bear,Jamie,
2,Asiatic Black Bear,Asia,http://en.wikipedia.org/wiki/Kermode_bear,Jamie,
3,Brown Bear,North America,http://en.wikipedia.org/wiki/Asian_black_bear,Jamie,
4,Panda,Asia,http://en.wikipedia.org/wiki/Brown_bear,Jamie,
5,Sloth Bear,Asia,http://en.wikipedia.org/wiki/Kodiak_bear,Jamie,
6,Sun Bear,Asia,http://en.wikipedia.org/wiki/Grizzly_bear,Jamie,
7,Polar Bear,North America,http://en.wikipedia.org/wiki/Giant_panda,Jamie,
8,Grolar Bear,North America,http://en.wikipedia.org/wiki/Sloth_bear,Jamie,
9,Extinct Bears,Other,http://en.wikipedia.org/wiki/Sun_bear,Jamie,
10,Famous Bears,Other,http://en.wikipedia.org/wiki/Polar_bear,Jamie,
11,Human Bear Conflict,Bear Info,http://en.wikipedia.org/wiki/Grizzly–polar_bear_hybrid,Jamie,
12,Bear Safey,Bear Info,http://en.wikipedia.org/wiki/List_of_bears,Jamie,
13,Bear Conservation,Bear Info,http://en.wikipedia.org/wiki/List_of_non-fictional_bears,Jamie,
14,Myths & Legends,Bear Info,http://www.mnr.gov.on.ca/en/Business/Bearwise/index.html,Jamie,
,,,http://www.ec.gc.ca/nature/default.asp?lang=En&n=A997D1CC-1,Jamie,
,,,,,
